customer_id,gender,age,first_time_buyer
237906,female,21,0
967016,male,40,1
819010,male,18,1
633030,male,25,0
341877,female,24,1
720210,male,54,0
908558,male,42,1
705508,female,27,1
248621,male,31,0
341344,female,47,0
733566,female,42,0
750195,female,45,0
461723,male,42,0
468665,female,44,1
556188,female,24,1
241759,male,26,1
161369,female,33,0
731692,female,19,0
656750,male,33,0
619020,female,51,0
413891,male,59,0
965672,male,34,0
217720,female,23,0
946265,male,28,0
140795,female,29,0
145479,male,56,0
961650,female,20,0
457742,male,58,0
978159,male,22,0
474218,male,19,0
184620,male,43,1
665730,female,44,1
618295,male,33,1
418694,female,57,1
944843,male,36,1
257329,male,38,1
510787,female,46,1
573367,female,50,1
821278,male,31,0
337268,female,27,0
987392,male,33,1
321846,male,28,0
526172,female,38,0
718125,female,48,1
490244,female,45,1
903360,female,38,1
789478,male,58,0
233890,male,54,0
449731,male,46,1
569312,male,34,1
708477,male,29,1
594199,male,21,1
425835,male,57,1
397453,female,53,1
962032,male,39,1
541659,male,57,0
210351,female,33,1
342716,male,32,0
878519,male,32,0
494275,male,45,0
230891,male,52,1
914253,male,42,0
657860,male,42,0
887190,female,41,0
697575,male,18,0
139484,male,52,0
982483,male,33,1
560802,male,31,1
513614,female,18,0
628979,female,29,0
253239,male,31,1
614301,female,28,0
168495,male,36,0
699431,female,41,0
528354,female,43,0
751098,male,56,1
480153,female,27,0
208677,male,31,1
349494,female,40,1
206310,female,20,1
185223,male,52,1
656181,female,24,1
393613,female,56,1
488910,female,38,1
846630,male,41,1
534633,male,46,1
909110,female,40,1
628031,male,49,1
743097,female,22,0
476047,male,36,0
862765,male,29,1
597655,male,41,0
486534,male,48,1
339830,male,30,0
283797,male,55,1
635204,female,18,0
619016,female,32,0
183947,male,58,1
731677,male,58,1
907549,female,46,0
